Date,Open,Close,High,Low,Vol.,Change %
0,"Apr 30, 2023","29,252.1","29,235.1","29,941.3","29,095.0",47.62K,0.06%
1,"Apr 29, 2023","29,234.1","29,318.4","29,425.5","29,058.5",25.72K,-0.30%
2,"Apr 28, 2023","29,321.8","29,475.9","29,587.2","28,927.8",69.88K,-0.52%
3,"Apr 27, 2023","29,475.9","28,424.5","29,859.8","28,392.4",121.63K,3.70%
4,"Apr 26, 2023","28,424.6","28,298.8","29,995.7","27,307.8",164.31K,0.44%
5,"Apr 25, 2023","28,298.8","27,510.1","28,375.6","27,201.1",65.31K,2.87%
6,"Apr 24, 2023","27,509.3","27,591.4","27,978.8","27,054.3",66.74K,-0.30%
7,"Apr 23, 2023","27,591.4","27,813.8","27,815.0","27,388.5",41.77K,-0.80%
8,"Apr 22, 2023","27,813.9","27,264.8","27,872.0","27,165.7",44.30K,2.01%
9,"Apr 21, 2023","27,264.8","28,240.5","28,353.4","27,171.1",98.72K,-3.46%
10,"Apr 20, 2023","28,240.5","28,813.7","29,082.1","28,032.4",95.45K,-1.99%
11,"Apr 19, 2023","28,813.7","30,382.2","30,408.4","28,641.1",111.27K,-5.16%
12,"Apr 18, 2023","30,382.2","29,434.1","30,470.1","29,149.2",76.58K,3.22%
13,"Apr 17, 2023","29,434.9","30,310.8","30,312.2","29,274.0",71.90K,-2.89%
14,"Apr 16, 2023","30,310.3","30,299.2","30,545.3","30,134.6",34.48K,0.04%
15,"Apr 15, 2023","30,299.6","30,472.6","30,586.5","30,208.8",31.71K,-0.57%
16,"Apr 14, 2023","30,472.5","30,387.4","30,964.9","30,026.0",98.38K,0.28%
17,"Apr 13, 2023","30,387.4","29,892.4","30,524.1","29,864.5",65.87K,1.68%
18,"Apr 12, 2023","29,886.4","30,209.8","30,473.0","29,679.5",78.69K,-1.07%
19,"Apr 11, 2023","30,209.6","29,641.0","30,484.6","29,597.8",89.38K,1.92%
20,"Apr 10, 2023","29,641.0","28,326.5","29,755.4","28,182.9",85.73K,4.64%
21,"Apr 09, 2023","28,326.6","27,941.2","28,522.7","27,809.2",39.35K,1.38%
22,"Apr 08, 2023","27,941.2","27,910.4","28,153.1","27,863.8",23.73K,0.11%
23,"Apr 07, 2023","27,910.4","28,037.6","28,102.5","27,779.4",30.94K,-0.45%
24,"Apr 06, 2023","28,036.7","28,173.5","28,173.5","27,734.5",51.29K,-0.49%
25,"Apr 05, 2023","28,173.5","28,164.4","28,744.4","27,823.5",77.32K,0.03%
26,"Apr 04, 2023","28,164.4","27,802.2","28,429.1","27,668.9",64.06K,1.30%
27,"Apr 03, 2023","27,802.1","28,194.7","28,458.4","27,256.9",98.00K,-1.41%
